course_id,acreage,holes,course_type,longitude,latitude,state,state_land_value
139,96.81828627,18,Private,-85.946376,33.96101,AL,34754.54545
140,481.4092338,54,Public,-85.927814,33.884072,AL,34754.54545
141,481.4092338,9,Public,-85.927814,33.884072,AL,34754.54545
142,NA,9,Public,-86.099665,33.056103,AL,34754.54545
143,NA,45,Public,-86.940498,33.633344,AL,34754.54545
144,118.4221349,9,Public,-87.634199,32.693137,AL,34754.54545
145,64.65768601,9,Private,-86.639508,31.846232,AL,34754.54545
146,369.7762415,63,Public,-86.686282,31.896111,AL,34754.54545
147,NA,18,Private,-87.905842,33.971968,AL,34754.54545
148,NA,18,Municipal,-87.678015,30.265806,AL,34754.54545
149,16.74625101,36,Public,-87.669298,30.304795,AL,34754.54545
150,NA,18,Public,-87.888474,30.235553,AL,34754.54545
151,39.48133806,54,Public,-87.773899,30.251587,AL,34754.54545
152,167.4198615,18,Public,-87.701114,30.270101,AL,34754.54545
153,NA,18,Municipal,-86.217249,34.369603,AL,34754.54545
154,NA,18,Public,-86.255397,34.394562,AL,34754.54545
155,NA,18,Public,-86.388367,34.374594,AL,34754.54545
156,100.3302402,18,Private,-87.604364,34.277349,AL,34754.54545
157,124.1411329,18,Municipal,-86.831362,34.110408,AL,34754.54545
158,NA,18,Public,-86.863833,34.390421,AL,34754.54545
159,NA,18,Public,-86.740041,34.859823,AL,34754.54545
160,NA,27,Public,-86.668003,33.949571,AL,34754.54545
161,NA,9,Public,-85.260701,31.351977,AL,34754.54545
162,120.0146124,18,Public,-86.372523,34.16761,AL,34754.54545
163,NA,18,Municipal,-86.584758,34.688979,AL,34754.54545
164,121.2402304,18,Private,-86.612913,34.749339,AL,34754.54545
165,55.39051926,27,Private,-86.543117,34.657309,AL,34754.54545
166,496.6916021,45,Semi Private,-86.668185,34.698434,AL,34754.54545
167,18.14938777,18,Semi Private,-86.518341,34.671148,AL,34754.54545
168,108.1087059,18,Public,-86.714329,34.75548,AL,34754.54545
169,140.279673,18,Public,-86.773548,34.658224,AL,34754.54545
170,NA,18,Public,-88.228975,30.44651,AL,34754.54545
171,81.69186661,9,Public,-87.891251,31.507903,AL,34754.54545
172,116.710693,18,Municipal,-85.873055,32.885532,AL,34754.54545
173,NA,18,Public,-85.773421,33.784875,AL,34754.54545
174,178.4566566,18,Semi Private,-87.287201,33.905893,AL,34754.54545
175,NA,9,Public,-87.211115,33.958805,AL,34754.54545
176,NA,9,Public,-87.327934,33.835633,AL,34754.54545
177,252.3618998,18,Private,-87.545134,34.843621,AL,34754.54545
178,242.169345,9,Public,-85.215039,32.87264,AL,34754.54545
179,NA,18,Private,-87.767996,32.294162,AL,34754.54545
180,86.7130366,9,Private,-88.201233,32.600854,AL,34754.54545
181,16.58211306,18,Private,-87.722198,30.698332,AL,34754.54545
182,87.50684881,9,Private,-86.267266,31.702645,AL,34754.54545
183,NA,9,Public,-87.318588,32.624491,AL,34754.54545
184,167.5732182,36,Semi Private,-86.360922,32.390946,AL,34754.54545
185,NA,9,Public,-87.144449,33.281056,AL,34754.54545
186,NA,9,Public,-85.603204,34.537302,AL,34754.54545
187,96.42140606,18,Public,-86.597048,34.873146,AL,34754.54545
188,NA,18,Public,-86.537211,34.87911,AL,34754.54545
189,130.5518154,18,Municipal,-86.375389,32.521738,AL,34754.54545
190,NA,18,Municipal,-88.162398,30.710567,AL,34754.54545
191,NA,18,Municipal,-88.061674,30.640932,AL,34754.54545
192,10.46077436,54,Municipal,-88.21261,30.737516,AL,34754.54545
193,NA,27,Private,-88.15335,30.68628,AL,34754.54545
194,167.847841,18,Private,-88.133828,30.642802,AL,34754.54545
195,130.3371116,18,Public,-88.146485,30.685821,AL,34754.54545
196,192.8193899,18,Private,-87.340089,31.519735,AL,34754.54545
197,104.0869845,18,Municipal,-86.873531,33.102673,AL,34754.54545
198,NA,18,Municipal,-86.326554,32.335042,AL,34754.54545
199,165.843607,18,Municipal,-86.221294,32.400294,AL,34754.54545
200,170.7905339,18,Private,-86.144678,32.378926,AL,34754.54545
201,NA,18,Semi Private,-86.272271,32.398724,AL,34754.54545
202,127.7599033,18,Semi Private,-86.282368,32.351498,AL,34754.54545
203,211.2901927,18,Semi Private,-86.149479,32.349475,AL,34754.54545
204,236.682286,18,Public,-86.174376,32.247291,AL,34754.54545
205,103.971321,18,Public,-86.270866,32.318126,AL,34754.54545
206,139.262934,36,Public,-86.135717,32.419455,AL,34754.54545
207,41.05578958,18,Public,-86.792639,33.75806,AL,34754.54545
208,155.4124268,18,Municipal,-87.311735,34.433911,AL,34754.54545
209,NA,18,Public,-87.659718,34.730226,AL,34754.54545
210,867.0913555,36,Public,-87.535206,34.817814,AL,34754.54545
211,301.5208529,18,Public,-87.638899,33.293178,AL,34754.54545
212,NA,18,Public,-86.46493,33.973678,AL,34754.54545
213,175.4348277,18,Public,-86.56757,33.895796,AL,34754.54545
214,82.10688113,18,Public,-86.407295,33.92928,AL,34754.54545
215,NA,18,Private,-85.417515,32.600131,AL,34754.54545
216,844.8113079,54,Public,-85.426491,32.676058,AL,34754.54545
217,60.97197954,9,Private,-86.284816,31.279539,AL,34754.54545
218,31.69567747,9,Municipal,-87.60668,30.290876,AL,34754.54545
219,NA,54,Public,-86.471284,34.659987,AL,34754.54545
220,367.1457098,18,Public,-85.750792,33.594656,AL,34754.54545
221,NA,18,Public,-85.614841,31.474832,AL,34754.54545
222,NA,18,Municipal,-86.755997,33.260424,AL,34754.54545
223,NA,27,Municipal,-86.760144,33.332374,AL,34754.54545
224,64.09227178,18,Private,-86.258419,33.559699,AL,34754.54545
225,NA,18,Semi Private,-86.272062,33.524899,AL,34754.54545
226,NA,18,Municipal,-85.020077,32.504099,AL,34754.54545
227,NA,18,Public,-86.670198,33.770023,AL,34754.54545
228,NA,36,Semi Private,-87.918457,30.473009,AL,34754.54545
229,NA,18,Private,-86.490568,32.45151,AL,34754.54545
230,203.278343,54,Public,-86.402021,32.447063,AL,34754.54545
231,NA,9,Public,-86.065727,33.95149,AL,34754.54545
232,NA,9,Public,-86.065718,33.951858,AL,34754.54545
233,70.35659815,9,Public,-85.806916,34.475419,AL,34754.54545
234,158.1635118,18,Public,-88.147419,34.46454,AL,34754.54545
235,58.30157761,9,Private,-87.980425,33.374022,AL,34754.54545
236,NA,9,Public,-85.382288,33.132333,AL,34754.54545
237,NA,18,Municipal,-87.319689,34.827766,AL,34754.54545
238,157.4042337,18,Semi Private,-87.675625,34.571422,AL,34754.54545
