course_id,acreage,holes,course_type,longitude,latitude,state,state_land_value
10311,70.92733616789641,18,Public,-115.331847,36.199072,NV,87945.45454545454
10312,485.7504937300737,18,Public,-115.318754,36.213988,NV,87945.45454545454
10313,230.2759083465254,18,Private,-115.148917,36.134967,NV,87945.45454545454
10314,145.5971094515584,18,Public,-115.198565,36.181102,NV,87945.45454545454
10315,145.4645412854165,18,Public,-115.125336,36.129769,NV,87945.45454545454
10316,700.1928659155494,54,Public,-115.323401,36.356696,NV,87945.45454545454
10317,197.1381039834926,18,Public,-115.218216,36.253453,NV,87945.45454545454
10318,49.96414770269808,18,Public,-115.257001,36.262064,NV,87945.45454545454
10319,400.0016646338634,18,Public,-115.296446,36.21135,NV,87945.45454545454
10320,37.898467787574454,18,Public,-115.346526,36.148517,NV,87945.45454545454
10321,37.898467787574454,18,Semi Private,-115.346526,36.148517,NV,87945.45454545454
10322,187.26940428935268,18,Public,-115.290159,36.042032,NV,87945.45454545454
10323,143.48317928877586,18,Public,-115.04472,36.137053,NV,87945.45454545454
10324,294.65336662872517,18,Public,-115.325682,36.10829,NV,87945.45454545454
10325,NA,54,Public,-115.250389,36.317912,NV,87945.45454545454
10326,266.1064455217619,18,Semi Private,-115.183619,35.96762,NV,87945.45454545454
10327,65.4433230032373,45,Private,-115.255265,36.097421,NV,87945.45454545454
10328,213.94669310421787,18,Semi Private,-115.05562,36.115179,NV,87945.45454545454
10329,349.28048145310686,18,Private,-115.327916,36.10552,NV,87945.45454545454
10330,132.13374010822994,18,Semi Private,-115.167817,36.127283,NV,87945.45454545454
10331,295.5671683140512,18,Semi Private,-115.299904,36.189648,NV,87945.45454545454
10332,190.24604138368056,18,Public,-115.310241,36.176912,NV,87945.45454545454
10333,178.5159137283178,18,Public,-114.653055,35.018562,NV,87945.45454545454
10334,477.684996127424,9,Municipal,-114.11568,36.836565,NV,87945.45454545454
10335,96.85168744454651,18,Public,-114.104948,36.796401,NV,87945.45454545454
10336,47.43402765083386,18,Public,-114.0616,36.830467,NV,87945.45454545454
10337,5.825855449598511,18,Public,-114.089167,36.811137,NV,87945.45454545454
10338,35.443740545124214,36,Public,-114.069213,36.823157,NV,87945.45454545454
10339,245.6414919807851,18,Private,-119.839552,39.106003,NV,87945.45454545454
10340,215.9641020831521,63,Private,-115.052438,36.216963,NV,87945.45454545454
10341,NA,18,Municipal,-115.150348,36.239558,NV,87945.45454545454
10342,19.33807205918373,9,Municipal,-115.13549,36.2142,NV,87945.45454545454
10343,64.95950763420277,18,Public,-115.182903,36.293529,NV,87945.45454545454
10344,239.5437449530889,18,Public,-115.105569,36.257617,NV,87945.45454545454
10345,NA,18,Public,-116.005016,36.198812,NV,87945.45454545454
10346,NA,18,Public,-115.97123,36.186511,NV,87945.45454545454
10347,301.6160337089096,18,Public,-115.92341,36.148916,NV,87945.45454545454
10348,264.05561852219165,18,Municipal,-119.885263,39.624784,NV,87945.45454545454
10349,167.30624688574358,18,Municipal,-119.817315,39.500971,NV,87945.45454545454
10350,NA,18,Municipal,-119.73019,39.497896,NV,87945.45454545454
10351,233.9166483491425,18,Private,-119.931596,39.534658,NV,87945.45454545454
10352,330.60587743196106,18,Private,-119.826032,39.357747,NV,87945.45454545454
10353,886.2572178573022,36,Private,-119.808559,39.412817,NV,87945.45454545454
10354,202.47020924484391,18,Private,-119.719851,39.492275,NV,87945.45454545454
10355,NA,9,Semi Private,-119.901048,39.527186,NV,87945.45454545454
10356,NA,18,Public,-119.900765,39.533362,NV,87945.45454545454
10357,25.86198979182496,18,Public,-119.812659,39.480064,NV,87945.45454545454
10358,164.3070423045153,18,Public,-119.775945,39.415865,NV,87945.45454545454
10359,145.100715955028,9,Public,-117.15401,38.687673,NV,87945.45454545454
10360,326.9329042581764,36,Semi Private,-119.68752,39.611773,NV,87945.45454545454
10361,120.25533233351926,27,Public,-119.771778,39.562734,NV,87945.45454545454
10362,12.545778088611312,18,Public,-119.689772,39.554034,NV,87945.45454545454
10363,43.351711953911725,18,Public,-119.725449,39.598485,NV,87945.45454545454
10364,293.2543167208021,18,Public,-115.586658,40.735565,NV,87945.45454545454
10365,232.17812355266665,18,Public,-119.941497,38.964489,NV,87945.45454545454
10366,NA,9,Public,-119.988494,39.522606,NV,87945.45454545454
10367,225.83912191716183,18,Semi Private,-119.828741,39.240076,NV,87945.45454545454
10368,211.1420867609828,18,Municipal,-114.084308,40.737212,NV,87945.45454545454
10369,NA,9,Municipal,-117.722243,40.969969,NV,87945.45454545454
10370,NA,9,Public,-119.163473,38.96678,NV,87945.45454545454
10371,NA,18,Public,-74.223758,41.810409,NY,374009.0909090909
10372,55.02135040920535,18,Public,-76.022254,43.82228,NY,374009.0909090909
10373,143.31465075121486,9,Municipal,-77.21529,42.094799,NY,374009.0909090909
10374,NA,18,Public,-75.512978,42.242773,NY,374009.0909090909
10375,152.3194621665241,45,Public,-78.536158,43.011578,NY,374009.0909090909
10376,169.83349274092083,18,Public,-78.528299,43.011468,NY,374009.0909090909
10377,169.83349274092083,18,Public,-78.527968,43.011653,NY,374009.0909090909
10378,176.533650718706,18,Public,-78.488657,43.047626,NY,374009.0909090909
10379,186.79676774812216,18,Public,-78.531191,42.996235,NY,374009.0909090909
10380,419.5541772343323,18,Municipal,-73.821504,42.652033,NY,374009.0909090909
10381,63.215354315349956,63,Municipal,-73.867387,42.755405,NY,374009.0909090909
10382,142.08857232087723,18,Private,-73.74408,42.67757,NY,374009.0909090909
10383,NA,9,Public,-78.223335,43.24969,NY,374009.0909090909
10384,108.50204442341072,18,Public,-78.190736,43.319422,NY,374009.0909090909
10385,108.8114873348269,18,Public,-78.471058,42.922063,NY,374009.0909090909
10386,NA,9,Public,-75.221337,43.421344,NY,374009.0909090909
