course_name,city,state,street_address,zip_code,holes,course_type,final_acreage,acreage_source,longitude,latitude
Briarwood Golf Club,York,PA,4775 W Market St,17404-6032,36,Public,,No Match Found,-76.833605,39.928673
Honey Run Golf Course,York,PA,3131 S Salem Church Rd,17404-9535,18,Public,,No Match Found,-76.831603,39.95258
Grandview Golf Course,York,PA,2779 Carlisle Rd,17404-1414,18,Public,84.51041027273244,OSM (Medium Reliability),-76.81102,39.981499
Heritage Hills Golf Resort,York,PA,2700 Mount Rose Ave,17402-9207,18,Public,120.24231656144909,OSM (Medium Reliability),-76.667874,39.958403
Springwood Golf Club,York,PA,601 Chestnut Hill Rd,17402-8860,18,Public,105.8186822870542,OSM (Medium Reliability),-76.665183,39.936614
Rolling Acres Golf Course,York,PA,490 Windsor Rd,17402-9522,18,Public,12.798586937269512,OSM (Medium Reliability),-76.631466,39.950168
Robershaw Acres Golf Club,Youngwood,PA,Albright Road,15697,18,Public,,No Match Found,-79.579379,40.239325
Rhode Island Country Club,Barrington,RI,150 Nayatt Rd,02806-3335,18,Private,135.49583660471848,OSM (Medium Reliability),-71.32938,41.72809
Bristol Golf Club,Bristol,RI,95 Tupelo St,02809-2808,9,Public,28.579156830005445,OSM (Medium Reliability),-71.272294,41.704945
Pinehurst Golf Course,Carolina,RI,25 Pinehurst Dr,02812-1139,9,Public,35.308133933038434,OSM (Medium Reliability),-71.659041,41.467778
Shelter Harbor Golf Club,Charlestown,RI,One Golf Club Dr,02813,27,Private,,No Match Found,-71.732889,41.356467
Coventry Pines Country Club,Coventry,RI,1065 Harkney Hill Rd,02816-4707,9,Public,56.89629990454606,OSM (Medium Reliability),-71.634179,41.672171
Washington Village Golf Course,Coventry,RI,2 Fairway Dr,02816-5772,9,Public,,No Match Found,-71.565662,41.692944
Alpine Country Club,Cranston,RI,251 Pippin Orchard Rd,02921-3607,18,Private,208.0233264415807,Tigris (High Reliability),-71.547564,41.784463
Cranston Country Club,Cranston,RI,69 Burlingame Rd,02921-2904,18,Public,153.43359972751645,OSM (Medium Reliability),-71.516952,41.736686
Mulligans Island Golf and Entertainment Center,Cranston,RI,1000 New London Ave,02920-3016,9,Public,60.21548300221798,OSM (Medium Reliability),-71.475805,41.739639
Goddard Memorial State Park Golf Course,East Greenwich,RI,1095 Ives Rd,02818-4625,9,Municipal,,No Match Found,-71.445081,41.648124
