TMK,dominant_zone_class,golf_clipped_acres,recorded_area_acres,course_name,expected_taxable,dominant_zone_description,geometry_reproduced_this_run
91089038,AG-1,0.01108282525381246,NA,Ewa Villages Golf Course,TRUE,AG-1 Restricted Agriculture District,TRUE
91090002,AG-1,0.010911181153472208,NA,Ewa Villages Golf Course,TRUE,AG-1 Restricted Agriculture District,TRUE
91090032,AG-1,0.010906980482349202,NA,Ewa Villages Golf Course,TRUE,AG-1 Restricted Agriculture District,TRUE
91090033,AG-1,0.010725099778089917,NA,Ewa Villages Golf Course,TRUE,AG-1 Restricted Agriculture District,TRUE
91089036,AG-1,0.010703343788638723,NA,Ewa Villages Golf Course,TRUE,AG-1 Restricted Agriculture District,TRUE
91090042,AG-1,0.010655616433918866,NA,Ewa Villages Golf Course,TRUE,AG-1 Restricted Agriculture District,TRUE
91090034,AG-1,0.010552674115046071,NA,Ewa Villages Golf Course,TRUE,AG-1 Restricted Agriculture District,TRUE
91089037,AG-1,0.01037948308802835,NA,Ewa Villages Golf Course,TRUE,AG-1 Restricted Agriculture District,TRUE
91090035,AG-1,0.010367533559345036,NA,Ewa Villages Golf Course,TRUE,AG-1 Restricted Agriculture District,TRUE
91090041,AG-1,0.010361117054438098,NA,Ewa Villages Golf Course,TRUE,AG-1 Restricted Agriculture District,TRUE
91090036,AG-1,0.010185635978839121,NA,Ewa Villages Golf Course,TRUE,AG-1 Restricted Agriculture District,TRUE
91055100,AG-1,0.010022632749668327,NA,West Loch Golf Course,TRUE,AG-1 Restricted Agriculture District,TRUE
91089041,AG-1,0.010011959151024276,NA,Ewa Villages Golf Course,TRUE,AG-1 Restricted Agriculture District,TRUE
91090037,AG-1,0.010003418585496962,NA,Ewa Villages Golf Course,TRUE,AG-1 Restricted Agriculture District,TRUE
91090038,AG-1,0.0098234536284216,NA,Ewa Villages Golf Course,TRUE,AG-1 Restricted Agriculture District,TRUE
91089042,AG-1,0.009667213674986816,NA,Ewa Villages Golf Course,TRUE,AG-1 Restricted Agriculture District,TRUE
91090039,AG-1,0.009643700878663846,NA,Ewa Villages Golf Course,TRUE,AG-1 Restricted Agriculture District,TRUE
91090040,AG-1,0.009461190967395642,NA,Ewa Villages Golf Course,TRUE,AG-1 Restricted Agriculture District,TRUE
91090003,AG-1,0.009336700822460202,NA,Ewa Villages Golf Course,TRUE,AG-1 Restricted Agriculture District,TRUE
91089043,AG-1,0.009334516192196258,NA,Ewa Villages Golf Course,TRUE,AG-1 Restricted Agriculture District,TRUE
91089044,AG-1,0.008998195070966278,NA,Ewa Villages Golf Course,TRUE,AG-1 Restricted Agriculture District,TRUE
91089050,AG-1,0.008766743595256627,NA,Ewa Villages Golf Course,TRUE,AG-1 Restricted Agriculture District,TRUE
91089051,AG-1,0.008643665129526508,NA,Ewa Villages Golf Course,TRUE,AG-1 Restricted Agriculture District,TRUE
91089052,AG-1,0.00852038454835091,NA,Ewa Villages Golf Course,TRUE,AG-1 Restricted Agriculture District,TRUE
91089053,AG-1,0.008397021993152396,NA,Ewa Villages Golf Course,TRUE,AG-1 Restricted Agriculture District,TRUE
91089054,AG-1,0.008273551891349758,NA,Ewa Villages Golf Course,TRUE,AG-1 Restricted Agriculture District,TRUE
91089046,AG-1,0.008218759396444866,NA,Ewa Villages Golf Course,TRUE,AG-1 Restricted Agriculture District,TRUE
91089055,AG-1,0.008150132695369324,NA,Ewa Villages Golf Course,TRUE,AG-1 Restricted Agriculture District,TRUE
91089056,AG-1,0.008026659218869683,NA,Ewa Villages Golf Course,TRUE,AG-1 Restricted Agriculture District,TRUE
91089045,AG-1,0.007891272455318196,NA,Ewa Villages Golf Course,TRUE,AG-1 Restricted Agriculture District,TRUE
91090004,AG-1,0.007764548614454627,NA,Ewa Villages Golf Course,TRUE,AG-1 Restricted Agriculture District,TRUE
91089001,AG-1,0.007757442023594006,NA,Ewa Villages Golf Course,TRUE,AG-1 Restricted Agriculture District,TRUE
91089059,AG-1,0.0076799700269033445,NA,Ewa Villages Golf Course,TRUE,AG-1 Restricted Agriculture District,TRUE
91089062,AG-1,0.007368893331198254,NA,Ewa Villages Golf Course,TRUE,AG-1 Restricted Agriculture District,TRUE
91089063,AG-1,0.007367993027212347,NA,Ewa Villages Golf Course,TRUE,AG-1 Restricted Agriculture District,TRUE
91089057,AG-1,0.007119192600590919,NA,Ewa Villages Golf Course,TRUE,AG-1 Restricted Agriculture District,TRUE
91089058,AG-1,0.007018290495018147,NA,Ewa Villages Golf Course,TRUE,AG-1 Restricted Agriculture District,TRUE
91063008,AG-1,0.006698579307480812,NA,West Loch Golf Course,TRUE,AG-1 Restricted Agriculture District,TRUE
91090005,AG-1,0.006191078201563879,NA,Ewa Villages Golf Course,TRUE,AG-1 Restricted Agriculture District,TRUE
91090006,AG-1,0.004617018166694347,NA,Ewa Villages Golf Course,TRUE,AG-1 Restricted Agriculture District,TRUE
91090099,AG-1,0.0032435138420098997,NA,Ewa Villages Golf Course,TRUE,AG-1 Restricted Agriculture District,TRUE
91090007,AG-1,0.0030586585699468372,NA,Ewa Villages Golf Course,TRUE,AG-1 Restricted Agriculture District,TRUE
91062042,AG-1,0.001974810617189614,NA,West Loch Golf Course,TRUE,AG-1 Restricted Agriculture District,TRUE
91062054,AG-1,0.0017154224248477129,NA,West Loch Golf Course,TRUE,AG-1 Restricted Agriculture District,TRUE
91062055,AG-1,0.0016764770498430626,NA,West Loch Golf Course,TRUE,AG-1 Restricted Agriculture District,TRUE
91062056,AG-1,0.0016528083905707586,NA,West Loch Golf Course,TRUE,AG-1 Restricted Agriculture District,TRUE
91090008,AG-1,0.0014976475126117464,NA,Ewa Villages Golf Course,TRUE,AG-1 Restricted Agriculture District,TRUE
91017156,AG-1,0.0013209085964909072,8.965,Ewa Villages Golf Course,TRUE,AG-1 Restricted Agriculture District,TRUE
91090044,AG-1,0.001123407896355154,NA,Ewa Villages Golf Course,TRUE,AG-1 Restricted Agriculture District,TRUE
91063007,AG-1,9.257430732711042e-4,NA,West Loch Golf Course,TRUE,AG-1 Restricted Agriculture District,TRUE
91062057,AG-1,7.126792757918036e-4,NA,West Loch Golf Course,TRUE,AG-1 Restricted Agriculture District,TRUE
91062041,AG-1,5.912847332359361e-4,NA,West Loch Golf Course,TRUE,AG-1 Restricted Agriculture District,TRUE
91090009,AG-1,1.6076833193890463e-4,NA,Ewa Villages Golf Course,TRUE,AG-1 Restricted Agriculture District,TRUE
91063009,AG-1,6.845033133019344e-5,NA,West Loch Golf Course,TRUE,AG-1 Restricted Agriculture District,TRUE
91095002,AG-1,2.8315045791667114e-6,NA,Ewa Villages Golf Course,TRUE,AG-1 Restricted Agriculture District,TRUE
91010121,AG-2,265.8082191643475,270.594,Hawaii Prince Golf Club,TRUE,AG-2 General Agriculture District,TRUE
91001030,AG-2,126.38991147440258,126.786,Ewa Beach Golf Club,TRUE,AG-2 General Agriculture District,TRUE
42008005,AG-2,107.65221532093149,572.872,Royal Hawaiian Golf Club,TRUE,AG-2 General Agriculture District,TRUE
42009001,AG-2,82.23725169675295,312.945,Royal Hawaiian Golf Club,TRUE,AG-2 General Agriculture District,TRUE
56002055,AG-2,58.55397137696694,114.05,Kahuku Golf Course,TRUE,AG-2 General Agriculture District,TRUE
91001001,AG-2,19.008863625963663,701.5288,Ewa Beach Golf Club,TRUE,AG-2 General Agriculture District,TRUE
41013012,AG-2,4.157505854028845,4.774,Unknown,TRUE,AG-2 General Agriculture District,TRUE
56003057,AG-2,3.7859856143965875,3.783,Kulima Golf Course,TRUE,AG-2 General Agriculture District,TRUE
57001025,AG-2,0.21119716414012468,0.25,Kulima Golf Course,TRUE,AG-2 General Agriculture District,TRUE
84020013,AG-2,0.13381225189820603,2.481,Makaha Valley Country Club,TRUE,AG-2 General Agriculture District,TRUE
56003053,AG-2,0.13170742555210307,95.583,Kulima Golf Course,TRUE,AG-2 General Agriculture District,TRUE
42008001,AG-2,0.12665228583976304,51.088,Royal Hawaiian Golf Club,TRUE,AG-2 General Agriculture District,TRUE
