OBJECTID,ZONE_,SECTION_,PLAT,ZSP,CREATED_USER,CREATED_DATE,LAST_EDITED_USER,LAST_EDITED_DATE,GLOBALID,Shape__Area,Shape__Length
2752,6,6,025,66025,,,GIS_EDITOR,3/16/2021 10:02:44 PM,ff275f8d-a287-4c22-b21b-b2aa214362a4,2700975.89762878,8491.42585979683
2753,9,1,054,91054,,,GIS_EDITOR,7/6/2020 10:16:22 PM,b764cf6a-a539-4a86-bf6c-86999ca16877,1377837.33047485,4781.66151319169
2754,5,9,001,59001,,,GIS_EDITOR,10/9/2020 8:01:41 PM,c58788b0-4e09-4e6b-bcfb-7668029f047e,2929732.60952759,23686.1597410248
2755,5,1,009,51009,,,GIS_EDITOR,10/9/2020 2:53:55 AM,292ca2ba-033b-4ec6-8011-ef4e64b999a5,711149.082077026,6589.8208800512
2756,4,1,026,41026,GIS_EDITOR,3/12/2020 12:44:12 AM,GIS_EDITOR,6/29/2020 5:46:43 PM,3fe37a8b-677c-46ae-8cf0-5272a573ecb5,9658699.91355133,24581.1769994943
2757,5,5,014,55014,,,GIS_EDITOR,7/7/2020 12:32:17 AM,6c4c15e6-73d4-4364-b777-ec05eecc202d,824053.507659912,4051.37540710913
2758,7,5,012,75012,,,GIS_EDITOR,12/8/2020 1:50:02 AM,0d7bf3d2-b559-4f9a-b475-16f6b5917d9f,997953.665802002,4294.97985625439
2759,9,1,145,91145,,,GIS_EDITOR,9/18/2020 6:10:35 PM,ef122fc2-0e50-4c06-8564-696f3a194495,752508.669387817,4232.54375131423
2760,3,1,016,31016,,,GIS_EDITOR,9/18/2020 6:41:25 PM,35028228-5feb-411f-89b3-8c19c004cbcf,799551.050945282,3690.9848818968
2761,5,5,015,55015,,,GIS_EDITOR,7/7/2020 12:32:17 AM,c922a55e-5aac-47d7-8aef-7df1ebdd9fd9,793389.108612061,4032.00663743458
2762,5,5,007,55007,,,GIS_EDITOR,7/7/2020 12:32:17 AM,c19195d1-5487-4fa2-970f-302a3177555e,207593346.585434,79925.8505576379
2763,9,4,003,94003,,,GIS_EDITOR,7/10/2020 9:46:27 PM,fca65bf7-078a-43da-9e61-60e60d3278f6,58136101.4439392,54151.7472768949
2764,9,4,004,94004,,,GIS_EDITOR,7/10/2020 9:46:27 PM,385ba9a9-1749-4483-99ae-88631a40a929,73539825.233902,44151.8908607915
2765,8,4,016,84016,,,GIS_EDITOR,3/18/2021 6:15:56 PM,a1be2958-9319-4ec2-8f16-62944b899792,1071003.94508362,4529.69819550463
2766,7,3,017,73017,,,GIS_EDITOR,3/10/2021 8:53:50 PM,7c61f4bf-e6a5-4bb2-a22c-c7fe90a8e9ca,927461.923370361,4623.28079074091
2767,9,2,004,92004,GIS_EDITOR,7/10/2020 9:35:15 PM,GIS_EDITOR,7/10/2020 10:47:06 PM,a1d2ac65-6540-4135-87d1-2d827b0a9f00,166893350.286659,96370.6130982713
